New Jersey,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2007, 2009 – 2010, 2011 – 2012","2006 – 2007, 2009 – 2012"
Decrease Periods,"2007 – 2009, 2010 – 2011",2007 – 2009
Peak Year,2007,2012
Lowest Year,2009,2009
Census Over/Underestimation,70000 Under,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,n,n
Periods,,
Different decrease periods?,n,n
Periods,,
Census Over/Underestimation,23784 Over,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,1,
2007,1,4
2008,2,3
2009,2,2
2010,1,3
Census,4,
2011,2,1
2012,1,3
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
