Texas,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2007, 2009 – 2012","2006 – 2008, 2009 – 2012"
Decrease Periods,2007 – 2008,2008 – 2009
Peak Year,2012,2012
Lowest Year,2005,2006
Census Over/Underestimation,10000 Under,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,y,y
Periods,2005 – 2012,"2006 – 2007, 2009 – 2012"
Different decrease periods?,n,y
Periods,,2007 – 2009
Census Over/Underestimation,40275 Over,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,1,
2007,1,1
2008,3,5
2009,1,2
2010,1,3
Census,2,
2011,1,3
2012,1,1
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
